t;T;H;rain;fog
0;21;14,7;TRUE;FALSE
1;19;13,3;TRUE;FALSE
2;18;12,6;TRUE;FALSE
3;17;11,9;TRUE;FALSE
4;23;16,1;TRUE;FALSE
5;21;14,7;TRUE;FALSE
6;19;13,3;TRUE;FALSE
7;12;8,4;TRUE;FALSE
8;15;10,5;TRUE;FALSE
9;16;11,2;TRUE;FALSE
10;17;11,9;TRUE;FALSE
11;19;13,3;TRUE;FALSE
12;20;14;TRUE;FALSE
0;21;14,7;TRUE;FALSE
1;19;13,3;TRUE;FALSE
2;18;12,6;TRUE;FALSE
3;17;11,9;TRUE;FALSE
4;23;16,1;TRUE;FALSE
5;21;14,7;TRUE;FALSE
6;19;13,3;TRUE;FALSE
7;12;8,4;TRUE;FALSE
8;15;10,5;TRUE;FALSE
9;16;11,2;TRUE;FALSE
10;17;11,9;TRUE;FALSE
11;19;13,3;TRUE;FALSE
12;20;14;TRUE;FALSE
13;16,76923077;11,73846154;TRUE;FALSE
14;16,56043956;11,59230769;TRUE;FALSE
15;16,35164835;11,44615385;TRUE;FALSE
16;16,14285714;11,3;TRUE;FALSE
17;15,93406593;11,15384615;TRUE;FALSE
18;15,72527473;11,00769231;TRUE;FALSE
19;15,51648352;10,86153846;TRUE;FALSE
20;15,30769231;10,71538462;TRUE;FALSE
21;15,0989011;10,56923077;TRUE;FALSE
22;14,89010989;10,42307692;TRUE;FALSE
23;14,68131868;10,27692308;TRUE;FALSE
24;14,47252747;10,13076923;TRUE;FALSE
25;14,26373626;9,984615385;TRUE;FALSE
26;14,05494505;9,838461538;TRUE;FALSE
27;13,84615385;9,692307692;TRUE;FALSE
28;13,63736264;9,546153846;TRUE;FALSE
29;13,42857143;9,4;TRUE;FALSE
30;13,21978022;9,253846154;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
0;21;14,7;TRUE;FALSE
1;19;13,3;TRUE;FALSE
2;18;12,6;TRUE;FALSE
3;17;11,9;TRUE;FALSE
4;23;16,1;TRUE;FALSE
5;21;14,7;TRUE;FALSE
6;19;13,3;TRUE;FALSE
7;12;8,4;TRUE;FALSE
8;15;10,5;TRUE;FALSE
9;16;11,2;TRUE;FALSE
10;17;11,9;TRUE;FALSE
11;19;13,3;TRUE;FALSE
12;20;14;TRUE;FALSE
0;21;14,7;TRUE;FALSE
1;19;13,3;TRUE;FALSE
2;18;12,6;TRUE;FALSE
3;17;11,9;TRUE;FALSE
4;23;16,1;TRUE;FALSE
5;21;14,7;TRUE;FALSE
6;19;13,3;TRUE;FALSE
7;12;8,4;TRUE;FALSE
8;15;10,5;TRUE;FALSE
9;16;11,2;TRUE;FALSE
10;17;11,9;TRUE;FALSE
11;19;13,3;TRUE;FALSE
12;20;14;TRUE;FALSE
13;16,76923077;11,73846154;TRUE;FALSE
14;16,56043956;11,59230769;TRUE;FALSE
15;16,35164835;11,44615385;TRUE;FALSE
16;16,14285714;11,3;TRUE;FALSE
17;15,93406593;11,15384615;TRUE;FALSE
18;15,72527473;11,00769231;TRUE;FALSE
19;15,51648352;10,86153846;TRUE;FALSE
20;15,30769231;10,71538462;TRUE;FALSE
21;15,0989011;10,56923077;TRUE;FALSE
22;14,89010989;10,42307692;TRUE;FALSE
23;14,68131868;10,27692308;TRUE;FALSE
24;14,47252747;10,13076923;TRUE;FALSE
25;14,26373626;9,984615385;TRUE;FALSE
26;14,05494505;9,838461538;TRUE;FALSE
27;13,84615385;9,692307692;TRUE;FALSE
28;13,63736264;9,546153846;TRUE;FALSE
29;13,42857143;9,4;TRUE;FALSE
30;13,21978022;9,253846154;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
31;13,01098901;9,107692308;TRUE;FALSE
30,89795918;13,03229424;9,122605965;TRUE;FALSE
31,56408163;12,89321373;9,025249608;TRUE;FALSE
32,23020408;12,75413321;8,92789325;TRUE;FALSE
32,89632653;12,6150527;8,830536892;TRUE;FALSE
33,56244898;12,47597219;8,733180534;TRUE;FALSE
34,22857143;12,33689168;8,635824176;TRUE;FALSE
34,89469388;12,19781117;8,538467818;TRUE;FALSE
35,56081633;12,05873066;8,44111146;TRUE;FALSE
36,22693878;11,91965015;8,343755102;TRUE;FALSE
36,89306122;11,78056963;8,246398744;TRUE;FALSE
37,55918367;11,64148912;8,149042386;TRUE;FALSE
38,22530612;11,50240861;8,051686028;TRUE;FALSE
38,89142857;11,3633281;7,95432967;TRUE;FALSE
39,55755102;11,22424759;7,856973312;TRUE;FALSE
40,22367347;11,08516708;7,759616954;TRUE;FALSE
40,88979592;10,94608657;7,662260597;TRUE;FALSE
41,55591837;10,80700606;7,564904239;TRUE;FALSE
42,22204082;10,66792554;7,467547881;TRUE;FALSE
42,88816327;10,52884503;7,370191523;TRUE;FALSE
43,55428571;10,38976452;7,272835165;TRUE;FALSE
44,22040816;10,25068401;7,175478807;TRUE;FALSE
44,88653061;10,1116035;7,078122449;TRUE;FALSE
45,55265306;9,972522987;6,980766091;TRUE;FALSE
46,21877551;9,833442476;6,883409733;TRUE;FALSE
46,88489796;9,694361965;6,786053375;TRUE;FALSE
47,55102041;9,555281453;6,688697017;TRUE;FALSE
48,21714286;9,416200942;6,591340659;TRUE;FALSE
48,88326531;9,277120431;6,493984301;TRUE;FALSE
49,54938776;9,138039919;6,396627943;TRUE;FALSE
50,2155102;8,998959408;6,299271586;TRUE;FALSE
50,88163265;8,859878897;6,201915228;TRUE;FALSE
51,5477551;8,720798385;6,10455887;TRUE;FALSE
52,21387755;8,581717874;6,007202512;TRUE;FALSE
52,88;8,442637363;5,909846154;TRUE;FALSE
53,54612245;8,303556851;5,812489796;TRUE;FALSE
54,2122449;8,16447634;5,715133438;TRUE;FALSE
54,87836735;8,025395829;5,61777708;TRUE;FALSE
55,5444898;7,886315317;5,520420722;TRUE;FALSE
56,21061224;7,747234806;5,423064364;TRUE;FALSE
56,87673469;7,608154295;5,325708006;TRUE;FALSE
57,54285714;7,469073783;5,228351648;TRUE;FALSE
58,20897959;7,329993272;5,13099529;TRUE;FALSE
58,87510204;7,190912761;5,033638932;TRUE;FALSE
59,54122449;7,051832249;4,936282575;TRUE;FALSE
60,20734694;6,912751738;4,838926217;TRUE;FALSE
60,87346939;6,773671227;4,741569859;TRUE;FALSE
61,53959184;6,634590715;4,644213501;TRUE;FALSE
62,20571429;6,495510204;4,546857143;TRUE;FALSE
62,87183673;6,356429693;4,449500785;TRUE;FALSE
63,53795918;6,217349181;4,352144427;TRUE;FALSE
64,20408163;6,07826867;4,254788069;TRUE;FALSE
64,87020408;5,939188159;4,157431711;TRUE;FALSE
65,53632653;5,800107647;4,060075353;TRUE;FALSE
66,20244898;5,661027136;3,962718995;TRUE;FALSE
66,86857143;5,521946625;3,865362637;TRUE;FALSE
67,53469388;5,382866113;3,768006279;TRUE;FALSE
68,20081633;5,243785602;3,670649922;TRUE;FALSE
68,86693878;5,104705091;3,573293564;TRUE;FALSE
69,53306122;4,96562458;3,475937206;TRUE;FALSE
70,19918367;4,826544068;3,378580848;TRUE;FALSE
70,86530612;4,687463557;3,28122449;TRUE;FALSE
71,53142857;4,548383046;3,183868132;TRUE;FALSE
72,19755102;4,409302534;3,086511774;TRUE;FALSE
72,86367347;4,270222023;2,989155416;TRUE;FALSE
73,52979592;4,131141512;2,891799058;TRUE;FALSE
74,19591837;3,992061;2,7944427;TRUE;FALSE
74,86204082;3,852980489;2,697086342;TRUE;FALSE
75,52816327;3,713899978;2,599729984;TRUE;FALSE
76,19428571;3,574819466;2,502373626;TRUE;FALSE
76,86040816;3,435738955;2,405017268;TRUE;FALSE
77,52653061;3,296658444;2,307660911;TRUE;FALSE
78,19265306;3,157577932;2,210304553;TRUE;FALSE
78,85877551;3,018497421;2,112948195;TRUE;FALSE
79,52489796;2,87941691;2,015591837;TRUE;FALSE
80,19102041;2,740336398;1,918235479;TRUE;FALSE
80,85714286;2,601255887;1,820879121;TRUE;FALSE
81,52326531;2,462175376;1,723522763;TRUE;FALSE
82,18938776;2,323094864;1,626166405;TRUE;FALSE
82,8555102;2,184014353;1,528810047;TRUE;FALSE
83,52163265;2,044933842;1,431453689;TRUE;FALSE
84,1877551;1,90585333;1,334097331;TRUE;FALSE
84,85387755;1,766772819;1,236740973;TRUE;FALSE
85,52;1,627692308;1,139384615;TRUE;FALSE
86,18612245;1,488611796;1,042028257;TRUE;FALSE
86,8522449;1,349531285;0,9446719;TRUE;FALSE
87,51836735;1,210450774;0,847315542;TRUE;FALSE
88,1844898;1,071370262;0,749959184;TRUE;FALSE
88,85061224;0,932289751;0,652602826;TRUE;FALSE
89,51673469;0,79320924;0,555246468;TRUE;FALSE
90,18285714;0,654128728;0,45789011;TRUE;FALSE
90,84897959;0,515048217;0,360533752;TRUE;FALSE
91,51510204;0,375967706;0,263177394;TRUE;FALSE
92,18122449;0,236887194;0,165821036;TRUE;FALSE
92,84734694;0,097806683;0,068464678;TRUE;FALSE
93,51346939;-0,041273828;-0,02889168;TRUE;FALSE
94,17959184;-0,18035434;-0,126248038;TRUE;FALSE
94,84571429;-0,319434851;-0,223604396;TRUE;FALSE
95,51183673;-0,458515362;-0,320960754;TRUE;FALSE
96,17795918;-0,597595874;-0,418317111;TRUE;FALSE
96,84408163;-0,736676385;-0,515673469;TRUE;FALSE
97,51020408;-0,875756896;-0,613029827;TRUE;FALSE
98,17632653;-1,014837407;-0,710386185;TRUE;FALSE
98,84244898;-1,153917919;-0,807742543;TRUE;FALSE
99,50857143;-1,29299843;-0,905098901;TRUE;FALSE
100,1746939;-1,432078941;-1,002455259;TRUE;FALSE
100,8408163;-1,571159453;-1,099811617;TRUE;FALSE
101,5069388;-1,710239964;-1,197167975;TRUE;FALSE
102,1730612;-1,849320475;-1,294524333;TRUE;FALSE
102,8391837;-1,988400987;-1,391880691;TRUE;FALSE
103,5053061;-2,127481498;-1,489237049;TRUE;FALSE
104,1714286;-2,266562009;-1,586593407;TRUE;FALSE
104,837551;-2,405642521;-1,683949765;TRUE;FALSE
105,5036735;-2,544723032;-1,781306122;TRUE;FALSE
106,1697959;-2,683803543;-1,87866248;TRUE;FALSE
106,8359184;-2,822884055;-1,976018838;TRUE;FALSE
107,5020408;-2,961964566;-2,073375196;TRUE;FALSE
108,1681633;-3,101045077;-2,170731554;TRUE;FALSE
108,8342857;-3,240125589;-2,268087912;TRUE;FALSE
109,5004082;-3,3792061;-2,36544427;TRUE;FALSE
110,1665306;-3,518286611;-2,462800628;TRUE;FALSE
110,8326531;-3,657367123;-2,560156986;TRUE;FALSE
111,4987755;-3,796447634;-2,657513344;TRUE;FALSE
112,164898;-3,935528145;-2,754869702;TRUE;FALSE
112,8310204;-4,074608657;-2,85222606;TRUE;FALSE
113,4971429;-4,213689168;-2,949582418;TRUE;FALSE
114,1632653;-4,352769679;-3,046938776;TRUE;FALSE
114,8293878;-4,491850191;-3,144295133;TRUE;FALSE
