Frequency (MHz);Power (dBm)
0;-79,0633
0,6103516;-75,5546
1,22E+00;-74,7015
1,83E+00;-75,4059
2,44E+00;-76,1707
3,05E+00;-76,2494
3,66E+00;-75,9916
4,27E+00;-75,7244
4,88E+00;-75,8357
5,49E+00;-75,9636
6,10E+00;-75,9039
6,71E+00;-75,7978
7,32E+00;-75,4649
7,93E+00;-75,4632
8,54E+00;-75,2296
9,16E+00;-74,7794
9,77E+00;-74,8194
1,04E+01;-75,1027
1,10E+01;-74,8573
1,16E+01;-74,3487
1,22E+01;-74,3293
1,28E+01;-73,9948
1,34E+01;-74,0278
1,40E+01;-74,0507
1,46E+01;-74,1588
1,53E+01;-73,7604
1,59E+01;-73,7619
1,65E+01;-73,5079
1,71E+01;-73,6252
1,77E+01;-73,3515
1,83E+01;-73,0578
1,89E+01;-72,7879
1,95E+01;-72,8067
2,01E+01;-72,4678
2,08E+01;-72,1772
2,14E+01;-71,7727
2,20E+01;-71,6977
2,26E+01;-71,6978
2,32E+01;-71,5494
2,38E+01;-71,6958
2,44E+01;-71,1989
2,50E+01;-71,1501
2,56E+01;-70,6858
2,62E+01;-70,752
2,69E+01;-70,6358
2,75E+01;-70,6752
2,81E+01;-70,5306
2,87E+01;-70,132
2,93E+01;-70,0566
2,99E+01;-69,8568
3,05E+01;-69,8003
3,11E+01;-69,8957
3,17E+01;-69,7045
3,23E+01;-69,5113
3,30E+01;-69,4067
3,36E+01;-69,367
3,42E+01;-69,2581
3,48E+01;-69,1366
3,54E+01;-69,1766
3,60E+01;-68,9473
3,66E+01;-68,8193
3,72E+01;-68,6062
3,78E+01;-68,7832
3,85E+01;-68,3304
3,91E+01;-68,2689
3,97E+01;-68,4314
4,03E+01;-68,0566
4,09E+01;-68,026
4,15E+01;-68,0674
4,21E+01;-67,9259
4,27E+01;-67,8216
4,33E+01;-67,4283
4,39E+01;-67,4
4,46E+01;-67,3116
4,52E+01;-67,0641
4,58E+01;-67,2029
4,64E+01;-67,2801
4,70E+01;-67,1028
4,76E+01;-66,6896
4,82E+01;-66,5246
4,88E+01;-66,7255
4,94E+01;-66,5649
5,00E+01;-66,1285
5,07E+01;-66,1916
5,13E+01;-66,4861
5,19E+01;-66,1998
5,25E+01;-66,1497
5,31E+01;-65,7347
5,37E+01;-65,5972
5,43E+01;-65,6656
5,49E+01;-65,6561
5,55E+01;-65,5345
5,62E+01;-65,3143
5,68E+01;-65,1953
5,74E+01;-65,2955
5,80E+01;-65,2015
5,86E+01;-64,9195
5,92E+01;-65,0096
5,98E+01;-64,8204
6,04E+01;-64,5642
6,10E+01;-64,6943
6,16E+01;-64,6988
6,23E+01;-64,3646
6,29E+01;-64,1354
6,35E+01;-64,6247
6,41E+01;-64,4471
6,47E+01;-64,4228
6,53E+01;-64,2644
6,59E+01;-64,1005
6,65E+01;-63,887
6,71E+01;-63,8467
6,77E+01;-63,9977
6,84E+01;-64,2897
6,90E+01;-63,9417
6,96E+01;-63,5506
7,02E+01;-63,5908
7,08E+01;-63,6763
7,14E+01;-63,4636
7,20E+01;-63,5696
7,26E+01;-63,4849
7,32E+01;-63,4104
7,39E+01;-63,1529
7,45E+01;-63,2253
7,51E+01;-63,0544
7,57E+01;-62,6751
7,63E+01;-62,6796
7,69E+01;-62,8885
7,75E+01;-62,6951
7,81E+01;-62,4797
7,87E+01;-62,4694
7,93E+01;-62,7469
8,00E+01;-62,5124
8,06E+01;-62,3841
8,12E+01;-62,4674
8,18E+01;-62,6591
8,24E+01;-62,1727
8,30E+01;-62,2036
8,36E+01;-62,3956
8,42E+01;-61,9498
8,48E+01;-61,7654
8,54E+01;-61,7636
8,61E+01;-61,9666
8,67E+01;-62,1507
8,73E+01;-61,9044
8,79E+01;-61,4145
8,85E+01;-61,3945
8,91E+01;-61,4239
8,97E+01;-61,4407
9,03E+01;-61,3577
9,09E+01;-61,52
9,16E+01;-61,2413
9,22E+01;-61,1168
9,28E+01;-61,1465
9,34E+01;-61,4158
9,40E+01;-61,253
9,46E+01;-60,9291
9,52E+01;-60,6344
9,58E+01;-60,8769
9,64E+01;-60,986
9,70E+01;-60,7566
9,77E+01;-60,7614
9,83E+01;-60,9735
9,89E+01;-60,7995
9,95E+01;-60,7789
1,00E+02;-60,879
1,01E+02;-60,5463
1,01E+02;-60,2971
1,02E+02;-60,1356
1,03E+02;-60,4867
1,03E+02;-60,7036
1,04E+02;-60,0295
1,04E+02;-59,8145
1,05E+02;-60,1118
1,06E+02;-60,1425
1,06E+02;-60,0937
1,07E+02;-59,7293
1,07E+02;-59,7838
1,08E+02;-59,7856
1,09E+02;-59,8093
1,09E+02;-59,8693
1,10E+02;-59,6999
1,10E+02;-59,5638
1,11E+02;-59,6793
1,12E+02;-59,628
1,12E+02;-59,6865
1,13E+02;-59,8642
1,14E+02;-59,6411
1,14E+02;-59,4465
1,15E+02;-59,3468
1,15E+02;-59,2642
1,16E+02;-59,2627
1,17E+02;-59,1842
1,17E+02;-59,4224
1,18E+02;-59,607
1,18E+02;-59,2774
1,19E+02;-59,0598
1,20E+02;-59,0546
1,20E+02;-58,9674
1,21E+02;-58,8607
1,21E+02;-58,8877
1,22E+02;-58,7955
1,23E+02;-58,9088
1,23E+02;-59,0664
1,24E+02;-58,8899
1,25E+02;-58,712
1,25E+02;-58,7564
1,26E+02;-58,6547
1,26E+02;-58,4489
1,27E+02;-58,4041
1,28E+02;-58,2727
1,28E+02;-58,3371
1,29E+02;-58,1008
1,29E+02;-58,4491
1,30E+02;-58,3274
1,31E+02;-58,1168
1,31E+02;-58,3499
1,32E+02;-58,1964
1,32E+02;-57,9302
1,33E+02;-57,8639
1,34E+02;-57,8997
1,34E+02;-57,9372
1,35E+02;-57,862
1,35E+02;-57,8349
1,36E+02;-57,8002
1,37E+02;-57,5157
1,37E+02;-57,984
1,38E+02;-58,2729
1,39E+02;-57,7104
1,39E+02;-57,579
1,40E+02;-57,7
1,40E+02;-57,5542
1,41E+02;-57,3399
1,42E+02;-57,2547
1,42E+02;-57,3617
1,43E+02;-57,3939
1,43E+02;-57,5337
1,44E+02;-57,501
1,45E+02;-57,377
1,45E+02;-57,3525
1,46E+02;-57,1838
1,46E+02;-57,3494
1,47E+02;-57,3523
1,48E+02;-57,0609
1,48E+02;-57,0141
1,49E+02;-57,2547
1,50E+02;-57,145
1,50E+02;-57,147
1,51E+02;-57,0758
1,51E+02;-57,0369
1,52E+02;-57,1655
1,53E+02;-57,1268
1,53E+02;-57,0636
1,54E+02;-57,0062
1,54E+02;-57,1689
1,55E+02;-56,6731
1,56E+02;-56,8554
1,56E+02;-57,2355
1,57E+02;-57,1571
1,57E+02;-56,6882
1,58E+02;-56,5908
1,59E+02;-56,3517
1,59E+02;-56,5798
1,60E+02;-56,6793
1,61E+02;-56,286
1,61E+02;-56,1992
1,62E+02;-56,2779
1,62E+02;-56,6647
1,63E+02;-56,8831
1,64E+02;-56,4341
1,64E+02;-56,1266
1,65E+02;-56,1434
1,65E+02;-56,1723
1,66E+02;-56,3567
1,67E+02;-56,6975
1,67E+02;-56,3322
1,68E+02;-56,2472
1,68E+02;-56,4526
1,69E+02;-56,1021
1,70E+02;-56,1338
1,70E+02;-56,1499
1,71E+02;-56,0632
1,72E+02;-55,9795
1,72E+02;-55,9105
1,73E+02;-56,0842
1,73E+02;-55,953
1,74E+02;-56,1869
1,75E+02;-55,9265
1,75E+02;-55,8805
1,76E+02;-55,9629
1,76E+02;-55,78
1,77E+02;-55,6898
1,78E+02;-55,7921
1,78E+02;-55,7349
1,79E+02;-56,0661
1,79E+02;-56,0414
1,80E+02;-55,7539
1,81E+02;-55,7624
1,81E+02;-55,8186
1,82E+02;-55,5675
1,82E+02;-55,6907
1,83E+02;-55,7593
1,84E+02;-55,3363
1,84E+02;-55,5991
1,85E+02;-55,63
1,86E+02;-55,6049
1,86E+02;-55,6472
1,87E+02;-55,4404
1,87E+02;-55,1737
1,88E+02;-55,4207
1,89E+02;-55,5287
1,89E+02;-55,2719
1,90E+02;-55,3552
1,90E+02;-55,4439
1,91E+02;-55,1664
1,92E+02;-55,0145
1,92E+02;-55,3694
1,93E+02;-55,2828
1,93E+02;-55,2165
1,94E+02;-54,92
1,95E+02;-55,0292
1,95E+02;-55,1509
1,96E+02;-55,2166
1,97E+02;-54,9484
1,97E+02;-54,9699
1,98E+02;-55,1957
1,98E+02;-54,9911
1,99E+02;-54,9021
2,00E+02;-55,0848
2,00E+02;-54,983
2,01E+02;-55,0187
2,01E+02;-54,8756
2,02E+02;-54,7834
2,03E+02;-54,7309
2,03E+02;-55,0889
2,04E+02;-55,017
2,04E+02;-54,929
2,05E+02;-54,8567
2,06E+02;-54,3747
2,06E+02;-54,3896
2,07E+02;-54,8517
2,08E+02;-54,7822
2,08E+02;-54,9309
2,09E+02;-54,742
2,09E+02;-54,5501
2,10E+02;-54,3114
2,11E+02;-54,3621
2,11E+02;-54,1203
2,12E+02;-53,9135
2,12E+02;-53,9656
2,13E+02;-54,1956
2,14E+02;-54,3623
2,14E+02;-54,522
2,15E+02;-54,8755
2,15E+02;-54,4493
2,16E+02;-54,1215
2,17E+02;-53,9075
2,17E+02;-53,7563
2,18E+02;-53,9144
2,19E+02;-54,1857
2,19E+02;-54,1247
2,20E+02;-53,9314
2,20E+02;-53,6145
2,21E+02;-54,0597
2,22E+02;-54,5686
2,22E+02;-54,2235
2,23E+02;-54,2242
2,23E+02;-54,1586
2,24E+02;-53,9249
2,25E+02;-53,7362
2,25E+02;-53,6743
2,26E+02;-53,6652
2,26E+02;-53,8004
2,27E+02;-53,762
2,28E+02;-53,7599
2,28E+02;-53,7591
2,29E+02;-53,7347
2,29E+02;-54,0765
2,30E+02;-54,0436
2,31E+02;-53,6361
2,31E+02;-53,4772
2,32E+02;-53,4374
2,33E+02;-53,2092
2,33E+02;-53,3559
2,34E+02;-53,6393
2,34E+02;-53,8485
2,35E+02;-53,4549
2,36E+02;-53,4366
2,36E+02;-53,3817
2,37E+02;-53,4659
2,37E+02;-53,1712
2,38E+02;-53,4612
2,39E+02;-53,4109
2,39E+02;-53,2831
2,40E+02;-53,1685
2,40E+02;-53,3289
2,41E+02;-53,3513
2,42E+02;-53,1945
2,42E+02;-52,9532
2,43E+02;-53,0813
2,44E+02;-53,0485
2,44E+02;-53,0882
2,45E+02;-53,173
2,45E+02;-53,0998
2,46E+02;-52,9451
2,47E+02;-52,6761
2,47E+02;-53,0329
2,48E+02;-53,1377
2,48E+02;-53,0628
2,49E+02;-52,8002
2,50E+02;-52,3772
2,50E+02;-52,4142
2,51E+02;-52,7643
2,51E+02;-52,8722
2,52E+02;-53,0265
2,53E+02;-52,7382
2,53E+02;-52,511
2,54E+02;-52,642
2,55E+02;-52,8172
2,55E+02;-52,5645
2,56E+02;-52,4484
2,56E+02;-52,275
2,57E+02;-52,262
2,58E+02;-52,4435
2,58E+02;-52,4085
2,59E+02;-52,2624
2,59E+02;-52,3261
2,60E+02;-52,2978
2,61E+02;-52,076
2,61E+02;-52,2469
2,62E+02;-52,3557
2,62E+02;-52,105
2,63E+02;-51,9029
2,64E+02;-52,1474
2,64E+02;-52,2267
2,65E+02;-52,1186
2,66E+02;-51,6674
2,66E+02;-51,8106
2,67E+02;-51,8411
2,67E+02;-51,8471
2,68E+02;-51,6392
2,69E+02;-51,5991
2,69E+02;-52,0502
2,70E+02;-52,1701
2,70E+02;-52,0538
2,71E+02;-51,9636
2,72E+02;-51,8441
2,72E+02;-51,7148
2,73E+02;-51,6892
2,73E+02;-51,8011
2,74E+02;-51,9014
2,75E+02;-51,9301
2,75E+02;-51,752
2,76E+02;-51,6487
2,76E+02;-51,3867
2,77E+02;-51,6945
2,78E+02;-51,5818
2,78E+02;-51,2829
2,79E+02;-51,2239
2,80E+02;-51,2886
2,80E+02;-51,3582
2,81E+02;-51,6344
2,81E+02;-51,3936
2,82E+02;-51,2053
2,83E+02;-51,2699
2,83E+02;-51,073
2,84E+02;-51,0378
2,84E+02;-51,4279
